重庆联通,#genre#
陕西卫视,http://14.108.209.204:8806/udp/235.254.199.40:7980
重庆卫视,http://14.108.209.204:8806/udp/235.254.199.173:7980
重庆新闻,http://14.108.209.204:8806/udp/235.254.197.199:7980
重庆影视,http://14.108.209.204:8806/udp/235.254.199.180:7980
重庆都市,http://14.108.209.204:8806/udp/235.254.199.181:7980
重庆时尚,http://14.108.209.204:8806/udp/235.254.199.182:7980
重庆娱乐,http://14.108.209.204:8806/udp/235.254.199.187:7980
重庆公共农村,http://14.108.209.204:8806/udp/235.254.199.186:7980
重庆科教,http://14.108.209.204:8806/udp/235.254.199.188:7980
重庆少儿,http://14.108.209.204:8806/udp/235.254.199.166:7980
重庆汽摩,http://14.108.209.204:8806/udp/235.254.199.169:7980
重庆移动,http://14.108.209.204:8806/udp/235.254.199.170:7980
秀山综合,http://14.108.209.204:8806/udp/235.254.199.239:7980
秀山综合,http://14.108.209.204:8806/udp/235.254.199.239:7980
开州综合,http://14.108.209.204:8806/udp/235.254.199.203:7980
三峡移民,http://14.108.209.204:8806/udp/235.254.199.200:7980
巫山综合,http://14.108.209.204:8806/udp/235.254.199.212:7980
巫溪综合,http://14.108.209.204:8806/udp/235.254.199.215:7980
城口综合,http://14.108.209.204:8806/udp/235.254.199.218:7980
丰都综合,http://14.108.209.204:8806/udp/235.254.199.221:7980
石柱综合,http://14.108.209.204:8806/udp/235.254.199.224:7980
武隆综合,http://14.108.209.204:8806/udp/235.254.199.227:7980
黔江综合,http://14.108.209.204:8806/udp/235.254.199.233:7980
酉阳综合,http://14.108.209.204:8806/udp/235.254.199.236:7980
求索记录,http://14.108.209.204:8806/udp/235.254.199.251:7980
全纪实,http://14.108.209.204:8806/udp/235.254.197.153:7980
上海纪实人文,http://14.108.209.204:8806/udp/235.254.199.122:7980
CHC家庭影院,http://14.108.209.204:8806/udp/235.254.199.246:7980
CHC动作电影,http://14.108.209.204:8806/udp/235.254.199.247:7980
CHC高清电影,http://14.108.209.204:8806/udp/235.254.199.248:7980
精彩影视,http://14.108.209.204:8806/udp/235.254.199.250:7980
CBN-每日影院,http://14.108.209.204:8806/udp/235.254.199.192:7980
CBN-幸福剧场,http://14.108.209.204:8806/udp/235.254.199.193:7980
CBN-风尚生活,http://14.108.209.204:8806/udp/235.254.199.194:7980
CBN-幸福娱乐,http://14.108.209.204:8806/udp/235.254.199.195:7980
中国交通,http://14.108.209.204:8806/udp/235.254.199.165:7980
茶频道,http://14.108.209.204:8806/udp/235.254.199.198:7980
快乐垂钓,http://14.108.209.204:8806/udp/235.254.199.191:7980
CETV1,http://14.108.209.204:8806/udp/235.254.199.196:7980
city都市剧场,http://14.108.209.204:8806/udp/235.254.197.151:7980
动漫秀场,http://14.108.209.204:8806/udp/235.254.197.152:7980
法治天地,http://14.108.209.204:8806/udp/235.254.197.154:7980
金色学堂,http://14.108.209.204:8806/udp/235.254.197.157:7980
极速汽车,http://14.108.209.204:8806/udp/235.254.197.158:7980
游戏风云,http://14.108.209.204:8806/udp/235.254.197.159:7980
生活时尚,http://14.108.209.204:8806/udp/235.254.197.160:7980
魅力足球,http://14.108.209.204:8806/udp/235.254.197.173:7980
梨园频道,http://14.108.209.204:8806/udp/235.254.199.163:7980
BesTV-4K,http://14.108.209.204:8806/udp/235.254.199.164:7980
欢笑剧场,http://14.108.209.204:8806/udp/235.254.196.150:7980
爱上4K,http://14.108.209.204:8806/udp/235.254.199.102:7980
重庆电信2,#genre#
CCTV1高清,http://14.108.209.204:8806/udp/235.254.198.51:1480
CCTV2高清,http://14.108.209.204:8806/udp/235.254.198.52:1484
CCTV3高清,http://14.108.209.204:8806/udp/235.254.198.53:1488
CCTV4高清,http://14.108.209.204:8806/udp/235.254.198.183:7980
CCTV5高清,http://14.108.209.204:8806/udp/235.254.198.54:1492
CCTV6高清,http://14.108.209.204:8806/udp/235.254.198.55:1496
CCTV7高清,http://14.108.209.204:8806/udp/235.254.198.56:1500
CCTV8高清,http://14.108.209.204:8806/udp/235.254.198.57:1504
CCTV9高清,http://14.108.209.204:8806/udp/235.254.198.58:1508
CCTV10高清,http://14.108.209.204:8806/udp/235.254.198.59:1512
CCTV12高清,http://14.108.209.204:8806/udp/235.254.198.60:1516
CCTV13,http://14.108.209.204:8806/udp/235.254.198.9:1312
重庆卫视高清,http://14.108.209.204:8806/udp/235.254.196.249:1268
CQTV新闻高清,http://14.108.209.204:8806/udp/235.254.196.199:7980
CQTV影视高清,http://14.108.209.204:8806/udp/235.254.198.180:7980
CQTV都市高清,http://14.108.209.204:8806/udp/235.254.198.181:7980
CQTV时尚高清,http://14.108.209.204:8806/udp/235.254.198.182:7980
CQTV娱乐高清,http://14.108.209.204:8806/udp/235.254.198.187:7980
CQTV公共农村高清,http://14.108.209.204:8806/udp/235.254.198.186:7980
CQTV少儿,http://14.108.209.204:8806/udp/235.254.196.214:1128
CQTV科教,http://14.108.209.204:8806/udp/235.254.196.215:1132
CQTV生活,http://14.108.209.204:8806/udp/235.254.196.216:1136
CQTV汽摩,http://14.108.209.204:8806/udp/235.254.196.221:1156
睛彩重庆,http://14.108.209.204:8806/udp/235.254.196.218:1146
CQTV手持电视,http://14.108.209.204:8806/udp/235.254.196.219:1148
CQTV移动,http://14.108.209.204:8806/udp/235.254.196.217:1140
家有购物（测试）,http://14.108.209.204:8806/udp/235.254.198.150:1882
CCTV少儿高清,http://14.108.209.204:8806/udp/235.254.198.61:1520
CCTV15,http://14.108.209.204:8806/udp/235.254.198.11:1320
时尚购物,http://14.108.209.204:8806/udp/235.254.196.220:1154
家家购物,http://14.108.209.204:8806/udp/235.254.198.177:7980
环球购物,http://14.108.209.204:8806/udp/235.254.198.176:7980
优购物,http://14.108.209.204:8806/udp/235.254.198.178:7980
风尚购物,http://14.108.209.204:8806/udp/235.254.198.179:7980
江苏卫视超高清,http://14.108.209.204:8806/udp/235.254.198.64:1532
浙江卫视超高清,http://14.108.209.204:8806/udp/235.254.198.63:1528
东方卫视超高清,http://14.108.209.204:8806/udp/235.254.198.73:1568
深圳卫视高清,http://14.108.209.204:8806/udp/235.254.198.71:1560
北京卫视超高清,http://14.108.209.204:8806/udp/235.254.198.66:1540
山东卫视高清,http://14.108.209.204:8806/udp/235.254.198.69:1552
天津卫视超高清,http://14.108.209.204:8806/udp/235.254.198.67:1544
