重庆联通,#genre#
纪实HD,http://123.145.30.27:8003/udp/225.0.4.99:7980
山东教育,http://123.145.30.27:8003/udp/225.0.4.177:7980
CETV1高清,http://123.145.30.27:8003/udp/225.0.4.186:7980
CETV4,http://123.145.30.27:8003/udp/225.0.4.185:7980
重庆卫视高清,http://123.145.30.27:8003/udp/225.0.4.187:7980
CQTV新闻高清,http://123.145.30.27:8003/udp/225.0.4.188:7980
CQTV农村高清,http://123.145.30.27:8003/udp/225.0.4.189:7980
CQTV影视高清,http://123.145.30.27:8003/udp/225.0.4.192:7980
CQTV科教高清,http://123.145.30.27:8003/udp/225.0.4.193:7980
CQTV都市高清,http://123.145.30.27:8003/udp/225.0.4.190:7980
CQTV少儿高清,http://123.145.30.27:8003/udp/225.0.4.191:7980
CQTV娱乐高清,http://123.145.30.27:8003/udp/225.0.4.194:7980
CQTV汽摩高清,http://123.145.30.27:8003/udp/225.0.4.195:7980
CQTV生活高清,http://123.145.30.27:8003/udp/225.0.4.197:7980
CQTV时尚高清,http://123.145.30.27:8003/udp/225.0.4.196:7980
CQTV购物高清,http://123.145.30.27:8003/udp/225.0.4.198:7980
湖南卫视高清,http://123.145.30.27:8003/udp/225.0.4.75:7980
浙江卫视高清,http://123.145.30.27:8003/udp/225.0.4.81:7980
江苏卫视高清,http://123.145.30.27:8003/udp/225.0.4.79:7980
安徽卫视高清,http://123.145.30.27:8003/udp/225.0.4.133:7980
广东卫视高清,http://123.145.30.27:8003/udp/225.0.4.84:7980
北京卫视高清,http://123.145.30.27:8003/udp/225.0.4.78:7980
天津卫视高清,http://123.145.30.27:8003/udp/225.0.4.82:7980
辽宁卫视高清,http://123.145.30.27:8003/udp/225.0.4.98:7980
东方卫视高清,http://123.145.30.27:8003/udp/225.0.4.80:7980
河北卫视高清,http://123.145.30.27:8003/udp/225.0.4.174:7980
贵州卫视高清,http://123.145.30.27:8003/udp/225.0.4.175:7980
山东卫视高清,http://123.145.30.27:8003/udp/225.0.4.199:7980
云南卫视,http://123.145.30.27:8003/udp/225.0.4.21:7980
东南卫视,http://123.145.30.27:8003/udp/225.0.4.31:7980
宁夏卫视,http://123.145.30.27:8003/udp/225.0.4.41:7980
河南卫视,http://123.145.30.27:8003/udp/225.0.4.22:7980
湖北卫视,http://123.145.30.27:8003/udp/225.0.4.28:7980
陕西卫视,http://123.145.30.27:8003/udp/225.0.4.36:7980
新疆卫视,http://123.145.30.27:8003/udp/225.0.4.43:7980
西藏卫视,http://123.145.30.27:8003/udp/225.0.4.42:7980
山西卫视,http://123.145.30.27:8003/udp/225.0.4.37:7980
内蒙古卫视,http://123.145.30.27:8003/udp/225.0.4.38:7980
青海卫视,http://123.145.30.27:8003/udp/225.0.4.39:7980
甘肃卫视,http://123.145.30.27:8003/udp/225.0.4.44:7980
黑龙江卫视,http://123.145.30.27:8003/udp/225.0.4.23:7980
吉林卫视,http://123.145.30.27:8003/udp/225.0.4.35:7980
江西卫视,http://123.145.30.27:8003/udp/225.0.4.25:7980
四川卫视,http://123.145.30.27:8003/udp/225.0.4.24:7980
广西卫视,http://123.145.30.27:8003/udp/225.0.4.34:7980
海南卫视,http://123.145.30.27:8003/udp/225.0.4.40:7980
深圳卫视,http://123.145.30.27:8003/udp/225.0.4.27:7980
金鹰卡通,http://123.145.30.27:8003/udp/225.0.4.46:7980
卡酷动画,http://123.145.30.27:8003/udp/225.0.4.45:7980
热播剧场,http://123.145.30.27:8003/udp/225.0.4.47:7980
IPTV3+,http://123.145.30.27:8003/udp/225.0.4.51:7980
IPTV5+,http://123.145.30.27:8003/udp/225.0.4.53:7980
IPTV6+,http://123.145.30.27:8003/udp/225.0.4.50:7980
IPTV8+，http://123.145.30.27:8003/udp/225.0.4.54:7980
经典电影,http://123.145.30.27:8003/udp/225.0.4.48:7980
魅力时尚,http://123.145.30.27:8003/udp/225.0.4.49:7980
谍战剧场，http://123.145.30.27:8003/udp/225.0.4.55:7980
IPTV相声小品,http://123.145.30.27:8003/udp/225.0.4.56:7980
IPTV野外,http://123.145.30.27:8003/udp/225.0.4.57:7980
城市剧场,http://123.145.30.27:8003/udp/225.0.4.145:7980
音乐现场,http://123.145.30.27:8003/udp/225.0.4.148:7980
地理,http://123.145.30.27:8003/udp/225.0.4.149:7980
美妆,http://123.145.30.27:8003/udp/225.0.4.150:7980
美人,http://123.145.30.27:8003/udp/225.0.4.151:7980
解密,http://123.145.30.27:8003/udp/225.0.4.153:7980
军事,http://123.145.30.27:8003/udp/225.0.4.154:7980
国学,http://123.145.30.27:8003/udp/225.0.4.155:7980
戏曲,http://123.145.30.27:8003/udp/225.0.4.156:7980
早教,http://123.145.30.27:8003/udp/225.0.4.157:7980
动画,http://123.145.30.27:8003/udp/225.0.4.158:7980
好学生,http://123.145.30.27:8003/udp/225.0.4.159:7980
鉴赏,http://123.145.30.27:8003/udp/225.0.4.160:7980
墨宝,http://123.145.30.27:8003/udp/225.0.4.161:7980
台球,http://123.145.30.27:8003/udp/225.0.4.163:7980
爱生活,http://123.145.30.27:8003/udp/225.0.4.164:7980
武术,http://123.145.30.27:8003/udp/225.0.4.165:7980
高网,http://123.145.30.27:8003/udp/225.0.4.166:7980
足球,http://123.145.30.27:8003/udp/225.0.4.167:7980
古装剧场,http://123.145.30.27:8003/udp/225.0.4.147:7980
武侠剧场,http://123.145.30.27:8003/udp/225.0.4.168:7980
军旅剧场,http://123.145.30.27:8003/udp/225.0.4.146:7980
喜剧影院,http://123.145.30.27:8003/udp/225.0.4.169:7980
动作影院,http://123.145.30.27:8003/udp/225.0.4.170:7980
家庭影院,http://123.145.30.27:8003/udp/225.0.4.171:7980
精选,http://123.145.30.27:8003/udp/225.0.4.152:7980
光影,http://123.145.30.27:8003/udp/225.0.4.162:7980
星影,http://123.145.30.27:8003/udp/225.0.4.172:7980
广东,#genre#
凤凰资讯 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.118:2191#http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰中文 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.162:2192#http://vl15191373.imwork.net:8880/udp/239.93.1.55:8302#http://vl15191373.imwork.net:8880/udp/239.93.1.9:2192
凤凰中文,http://mmitv.top/iptv/hotel.php?id=fhzw&user=7a646d304b646d71703969776d4d
凤凰资讯,http://mmitv.top/iptv/hotel.php?id=fhzx&user=7a646d304b646d71703969776d4d
凤凰香港,http://mmitv.top/iptv/hotel.php?id=fhxg&user=7a646d304b646d71703969776d4d
TVB星河,http://mmitv.top/iptv/hotel.php?id=tvbxh&user=7a646d304b646d71703969776d4d
翡翠台,http://mmitv.top/iptv/hotel.php?id=fct&user=7a646d304b646d71703969776d4d
星空,http://mmitv.top/iptv/hotel.php?id=xk&user=7a646d304b646d71703969776d4d
CHC高清电影,http://mmitv.top/iptv/hotel.php?id=chcgqdy&user=7a646d304b646d71703969776d4d
CHC家庭影院,http://mmitv.top/iptv/hotel.php?id=chcjtyy&user=7a646d304b646d71703969776d4d
CHC高清剧场,http://mmitv.top/iptv/hotel.php?id=chcgqjc&user=7a646d304b646d71703969776d4d
纪实人文,http://mmitv.top/iptv/hotel.php?id=jsrw&user=7a646d304b646d71703969776d4d
广东影视,http://mmitv.top/iptv/hotel.php?id=gdys&user=7a646d304b646d71703969776d4d
大湾区卫视,http://mmitv.top/iptv/hotel.php?id=dwqws&user=7a646d304b646d71703969776d4d
广东新闻,http://mmitv.top/iptv/hotel.php?id=gdxw&user=7a646d304b646d71703969776d4d
广东民生,http://mmitv.top/iptv/hotel.php?id=gdms&user=7a646d304b646d71703969776d4d
深圳电视剧,http://mmitv.top/iptv/hotel.php?id=szdsj&user=7a646d304b646d71703969776d4d
广东4K,http://mmitv.top/iptv/hotel.php?id=gd-4k&user=7a646d304b646d71703969776d4d
广州影视,http://mmitv.top/iptv/hotel.php?id=gzys&user=7a646d304b646d71703969776d4d
广州新闻,http://mmitv.top/iptv/hotel.php?id=gzxw&user=7a646d304b646d71703969776d4d
广州综合,http://mmitv.top/iptv/hotel.php?id=gzzh&user=7a646d304b646d71703969776d4d
龙翔时代,http://mmitv.top/iptv/hotel.php?id=lxsd&user=7a646d304b646d71703969776d4d
广东移动,http://mmitv.top/iptv/hotel.php?id=gdyd&user=7a646d304b646d71703969776d4d
广东体育,http://mmitv.top/iptv/hotel.php?id=gdty&user=7a646d304b646d71703969776d4d
生活时尚,http://mmitv.top/iptv/hotel.php?id=shss&user=7a646d304b646d71703969776d4d
东森样片,http://mmitv.top/iptv/hotel.php?id=dsyp&user=7a646d304b646d71703969776d4d
东森电影,http://mmitv.top/iptv/hotel.php?id=dsdy&user=7a646d304b646d71703969776d4d
深圳公共,http://mmitv.top/iptv/hotel.php?id=szgg&user=7a646d304b646d71703969776d4d
深圳娱乐,http://mmitv.top/iptv/hotel.php?id=szyl&user=7a646d304b646d71703969776d4d
深圳财经生活,http://mmitv.top/iptv/hotel.php?id=szcjsh&user=7a646d304b646d71703969776d4d
佛山影视,http://mmitv.top/iptv/hotel.php?id=fsys&user=7a646d304b646d71703969776d4d
私人影院,http://mmitv.top/iptv/hotel.php?id=sryy&user=7a646d304b646d71703969776d4d
新视觉,http://mmitv.top/iptv/hotel.php?id=xsj&user=7a646d304b646d71703969776d4d
欢笑剧场4K,http://mmitv.top/iptv/hotel.php?id=hxjc-4k&user=7a646d304b646d71703969776d4d
深圳龙岗,http://mmitv.top/iptv/hotel.php?id=szlg&user=7a646d304b646d71703969776d4d
精彩-MTV,http://mmitv.top/iptv/hotel.php?id=jc-mtv&user=7a646d304b646d71703969776d4d
精彩影院,http://mmitv.top/iptv/hotel.php?id=jcyy&user=7a646d304b646d71703969776d4d
4K测试,http://mmitv.top/iptv/hotel.php?id=4kcs&user=7a646d304b646d71703969776d4d
CCTV16-4K,http://mmitv.top/iptv/hotel.php?id=cctv16-4k&user=7a646d304b646d71703969776d4d
南国都市4K,http://mmitv.top/iptv/hotel.php?id=ngds-4k&user=7a646d304b646d71703969776d4d
好莱坞电影,http://mmitv.top/iptv/hotel.php?id=hlwdy&user=7a646d304b646d71703969776d4d
糖豆广场舞,http://mmitv.top/iptv/hotel.php?id=tdgcw&user=7a646d304b646d71703969776d4d
老故事,http://mmitv.top/iptv/hotel.php?id=lgs&user=7a646d304b646d71703969776d4d
老电影,http://mmitv.top/iptv/hotel.php?id=ldy&user=7a646d304b646d71703969776d4d
IPTV古装剧场,http://mmitv.top/iptv/hotel.php?id=iptvgzjc&user=7a646d304b646d71703969776d4d
IPTV家庭剧场,http://mmitv.top/iptv/hotel.php?id=iptvjtjc&user=7a646d304b646d71703969776d4d
IPTV抗战剧场,http://mmitv.top/iptv/hotel.php?id=iptvkzjc&user=7a646d304b646d71703969776d4d
IPTV经典剧场,http://mmitv.top/iptv/hotel.php?id=iptvjdjc&user=7a646d304b646d71703969776d4d
IPTV高清院线,http://mmitv.top/iptv/hotel.php?id=iptvgqyx&user=7a646d304b646d71703969776d4d
TVB影视剧,http://mmitv.top/iptv/hotel.php?id=tvbysj&user=7a646d304b646d71703969776d4d
TVB财经体育资讯台,http://mmitv.top/iptv/hotel.php?id=tvbcjtyzxt&user=7a646d304b646d71703969776d4d
广州法治,http://mmitv.top/iptv/hotel.php?id=gzfz&user=7a646d304b646d71703969776d4d
民视影视剧,http://mmitv.top/iptv/hotel.php?id=msysj&user=7a646d304b646d71703969776d4d
求索生活,http://mmitv.top/iptv/hotel.php?id=qssh&user=7a646d304b646d71703969776d4d
求索纪录,http://mmitv.top/iptv/hotel.php?id=qsjl&user=7a646d304b646d71703969776d4d
龙鑫网络电影,http://mmitv.top/iptv/hotel.php?id=lwldy&user=7a646d304b646d71703969776d4d
CCTV16,http://mmitv.top/iptv/hotel.php?id=cctv16&user=7a646d304b646d71703969776d4d


